Speed,Throttle,Brake,RPM,nGear,DRS,Distance
68.0,14.0,False,6434.0,2,1,950.5644444444446
70.0,22.0,False,6454.0,2,1,953.6755555555557
71.22857142857143,24.457142857142856,False,6583.0,2,1,957.0892789270822
72.0,26.0,False,6664.0,2,1,959.2755555555556
73.66500096,30.99500288,False,7083.58024192,2,1,961.5625590948479
75.0,35.0,False,7420.0,2,1,963.4422222222222
79.0,42.0,False,7823.0,2,1,966.9533333333333
82.37272727272727,45.85454545454545,False,7984.890909090909,2,1,971.851185621132
86.0,50.0,False,8159.0,2,1,977.4644444444444
88.57142857142857,54.885714285714286,False,8441.085714285715,2,1,979.3198451905753
96.0,69.0,False,9256.0,2,1,984.9311111111111
96.5,69.5,False,9298.45,2,1,985.2683426061483
103.12500266666666,76.12500266666666,False,9860.9127264,2,1,989.8858456715018
106.0,79.0,False,10105.0,2,1,991.9977777777777
111.7312528,80.6375008,False,10446.0095416,2,1,996.2074880877433
120.0,83.0,False,10938.0,2,1,1002.6644444444444
124.09500288,90.28000512,False,10736.88985856,2,1,1005.8910705152801
129.0,99.0,False,10496.0,2,1,1009.831111111111
132.468752,99.0,False,10691.6376128,2,1,1013.9075863752156
134.0,99.0,False,10778.0,3,1,1015.7866666666665
144.85227636363635,99.0,False,11067.538733381818,3,1,1023.7836367969863
156.21591272727272,99.0,False,11370.720551563636,3,1,1032.9443711572337
159.0,99.0,False,11445.0,3,1,1035.2199999999998
163.7571456,99.0,False,11101.6926592,3,1,1040.4168031397571
171.0,99.0,False,10579.0,4,1,1048.5199999999998
172.1625024,99.0,False,10638.7719984,4,1,1050.0455300452136
178.1625024,99.0,False,10947.2719984,4,1,1058.1124591590526
183.0,99.0,False,11196.0,4,1,1064.7866666666662
184.08500224,99.0,False,11290.39519488,4,1,1066.4080488964983
190.0,99.0,False,11805.0,4,1,1075.3422222222218
191.7062512,99.0,False,11844.2437776,4,1,1080.1863052319413
193.0,99.0,False,11874.0,4,1,1083.9199999999996
197.62500266666666,99.0,False,11366.1747072,4,1,1090.105084690269
203.0,99.0,False,10776.0,5,1,1097.453333333333
204.0,99.0,False,10875.8,5,1,1101.5671861067412
208.0,99.0,False,11275.0,5,1,1118.2533333333329
209.5500032,99.0,False,11295.343792,5,1,1120.0960235641576
216.0,99.0,False,11380.0,5,1,1127.8533333333328
218.2,99.0,False,11550.5,5,1,1135.8753534817745
220.0,99.0,False,11690.0,5,1,1142.5199999999995
225.2750016,99.0,False,10584.8871648,5,1,1155.749638057935
226.0,99.0,False,10433.0,5,1,1157.5866666666661
230.0,99.0,False,10622.0,6,1,1170.364444444444
233.05357257142856,99.0,False,10715.439320685715,6,1,1181.4690562913065
235.0,99.0,False,10775.0,6,1,1188.6422222222218
236.94250112,99.0,False,10857.41754752,6,1,1196.0259889233112
242.0,99.0,False,11072.0,6,1,1215.5311111111105
243.06500096,99.0,False,11121.7000448,6,1,1220.350722899979
245.0,99.0,False,11212.0,6,1,1229.1422222222218
246.66500096,99.0,False,11239.19501568,6,1,1236.7608017531684
248.0,99.0,False,11261.0,6,1,1242.9199999999996
250.0812512,99.0,False,11399.75008,6,1,1250.6793915730289
254.0,99.0,False,11661.0,6,1,1265.4977777777774
255.26785828571428,99.0,False,11700.81075017143,6,1,1270.5822379168208
258.85714285714283,99.0,False,11813.514285714286,6,1,1285.0656072859601
259.0,99.0,False,11818.0,6,1,1285.6422222222216
260.0,99.0,False,11412.0,6,1,1297.1977777777772
261.0833333333333,99.0,False,11223.716666666667,6,1,1300.9914008749345
265.0,99.0,False,10543.0,7,1,1314.864444444444
267.35555555555555,99.0,False,10705.533333333333,7,1,1330.6701469330478
269.0,99.0,False,10819.0,7,1,1341.7644444444438
269.32,99.0,False,10830.84,7,1,1344.1670155667848
271.0,99.0,False,10893.0,7,1,1356.8199999999993
271.1375008,99.0,False,10895.2458464,7,1,1357.6526562991774
274.0,99.0,False,10942.0,7,1,1375.0866666666661
274.1874992,99.0,False,10952.8749536,7,1,1377.3755120291216
275.0,99.0,False,11000.0,7,1,1387.308888888888
276.2187512,99.0,False,11043.4687928,7,1,1397.3024482659823
278.0,99.0,False,11107.0,7,1,1412.0199999999993
278.6375008,99.0,False,11133.1375328,7,1,1415.991899271132
281.0,99.0,False,11230.0,7,1,1430.7533333333329
281.0,99.0,False,11287.0,7,1,1443.2422222222217
281.1571437714286,99.0,False,11290.8500224,7,1,1444.1055161230113
284.0142866285714,99.0,False,11360.8500224,7,1,1459.9308432224484
285.0,99.0,False,11385.0,7,1,1465.4088888888882
285.65500032,99.0,False,11440.02002688,7,1,1475.8073880892466
286.0,99.0,False,11469.0,7,1,1481.2977777777774
289.0,99.0,False,11532.0,7,1,1513.4088888888884
289.08250048,99.0,False,11535.1625184,7,1,1514.2971639491213
290.59,99.0,False,11592.95,7,1,1530.5706304885346
292.0,99.0,False,11647.0,7,1,1545.8533333333328
292.05500032,99.0,False,11649.72251584,7,1,1546.7491099144968
292.85500032,99.0,False,11689.32251584,7,1,1559.7981432464542
294.0,99.0,False,11746.0,7,1,1578.5199999999995
294.8187504,99.0,False,11782.843768,7,1,1589.2479157363005
295.0,99.0,False,11791.0,7,1,1591.6311111111106
296.25833386666665,99.0,False,11385.816494933333,7,1,1604.1073007735158
297.75833386666665,99.0,False,10902.816494933333,7,1,1619.1004170621427
299.0,99.0,False,10503.0,8,1,1631.497777777777
299.0,99.0,False,10566.0,8,1,1644.7866666666662
299.06,99.0,False,10567.62,8,1,1645.7845993301096
300.0,99.0,False,10593.0,8,1,1661.4533333333325
300.7,99.0,False,10616.8,8,1,1670.8121263302542
301.0,99.0,False,10627.0,8,1,1674.8311111111107
303.0,99.0,False,10665.0,8,1,1698.3977777777775
303.0,98.9083328,False,10654.5041056,8,1,1699.328399299947
303.0,97.4,False,10481.8,8,1,1714.6271050268501
303.0,97.0,False,10436.0,8,1,1718.597777777777
290.6333333333333,39.87777777777777,False,10813.477777777778,8,1,1735.4967666508348
282.0,0.0,True,11077.0,7,1,1746.7977777777776
277.40999424,0.0,True,11230.76519296,7,1,1750.6149847060628
264.0,0.0,True,11680.0,7,1,1761.4644444444439
246.0,0.0,True,10909.0,6,1,1775.1311111111108
244.5142857142857,0.0,True,11081.528571428571,6,1,1778.63469550871
241.68571245714287,0.0,True,11409.996640914285,6,1,1785.2887699995035
238.0,0.0,True,11838.0,6,1,1793.642222222222
218.33499264,0.0,True,10771.81460096,6,1,1803.919629089017
215.0,0.0,True,10591.0,5,1,1805.5866666666661
207.08,0.0,True,10734.22,5,1,1812.9211574908252
195.08,0.0,True,10951.22,5,1,1823.361936352517
191.0,0.0,True,11025.0,4,1,1826.8088888888883
180.96666666666667,0.0,True,10528.35,4,1,1835.3204904229822
177.0,0.0,True,10332.0,4,1,1838.6088888888885
173.8781232,0.0,True,10116.937376,4,1,1843.8872014803774
168.0,0.0,True,9712.0,4,1,1853.5422222222219
165.39999817142856,0.0,True,9597.924919771429,4,1,1857.6414527172044
160.0,0.0,True,9361.0,4,1,1865.9866666666665
155.60416533333333,0.0,True,9140.329099733333,4,1,1875.0963915677648
155.0,0.0,True,9110.0,4,1,1876.32
148.0,0.0,True,8797.0,4,1,1886.1866666666665
146.9593744,1.0406256,True,8714.0968272,4,1,1890.6820462140454
145.0,3.0,False,8558.0,4,1,1899.0755555555554
144.68999936,7.18500864,False,8576.13503744,4,1,1900.313136397069
143.0,30.0,False,8675.0,4,1,1907.02
142.93888853333334,30.580558933333332,False,8673.838882133334,4,1,1907.4534967683599
141.72222293333334,42.13888213333333,False,8650.722235733334,4,1,1916.0104864836103
