year,round,raceId,driverId,constructorId,circuitId,grid,qualifying_position,podium
2011,6,846,153,5,6,19.0,20.0,0
2011,6,846,13,6,6,6.0,6.0,0
2011,6,846,30,131,6,5.0,5.0,0
2011,6,846,10,166,6,20.0,21.0,0
2011,7,847,18,1,7,7.0,7.0,1
2011,7,847,20,9,7,1.0,1.0,1
2011,7,847,17,9,7,4.0,4.0,1
2011,7,847,30,131,7,8.0,8.0,0
2011,7,847,808,4,7,10.0,10.0,0
2011,7,847,13,6,7,3.0,3.0,0
2011,7,847,155,15,7,13.0,13.0,0
2011,7,847,153,5,7,24.0,18.0,0
2011,7,847,22,3,7,16.0,16.0,0
